name startdate enddate length diameter unit gas fix_time rock uncertainty_inlet uncertainty_outlet
HY_Z23_32_CH4 04.02.2022 07.02.2022 0.11450 0.10347 6 CH4 7 cement 200e5*0.001 60e5*0.001

HY_ZG1 09.04.2021 12.04.2021 0.2000 0.1000 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_ZG2 09.04.2021 16.04.2021 0.2000 0.1000 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_ZG2_02 19.04.2021 23.04.2021 0.2000 0.1000 6 H2 17 cement 200e5*0.001 60e5*0.001
HY_ZG2_03 07.09.2021 08.09.2021 0.2000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG2_04 08.09.2021 09.09.2021 0.2000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG2_05 09.09.2021 10.09.2021 0.2000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG2_06 10.09.2021 13.09.2021 0.2000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG2_07 13.09.2021 14.09.2021 0.2000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG2_08 14.09.2021 15.09.2021 0.2000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG2_09 15.09.2021 16.09.2021 0.2000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG2_10 16.09.2021 17.09.2021 0.2000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001

HY_ZG3 07.09.2021 08.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_02 08.09.2021 09.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_03 09.09.2021 10.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_04 10.09.2021 13.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_05 13.09.2021 14.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_06 14.09.2021 15.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_07 15.09.2021 20.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_08 20.09.2021 22.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_09 22.09.2021 23.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_10 23.09.2021 23.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_11 27.09.2021 28.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_12 28.09.2021 30.09.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_13 30.09.2021 04.10.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_ZG3_14 04.09.2021 04.10.2021 0.1000 0.1000 6 H2 1 cement 200e5*0.001 60e5*0.001

HY_ZG21 23.11.2021 03.12.2021 0.09743 0.10225 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG21_02 03.12.2021 08.01.2022 0.09743 0.10225 4 H2 4 cement 25e5*0.001 10e5*0.001

HY_ZG22 23.11.2021 24.11.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG22_02 24.11.2021 25.11.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG22_03 25.11.2021 26.11.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG22_04 26.11.2021 30.11.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG22_10 02.12.2021 03.12.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG22_11 03.12.2021 06.12.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG22_12 06.12.2021 13.12.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
HY_ZG22_13 13.12.2021 15.12.2021 0.10009 0.10236 4 H2 4 cement 25e5*0.001 10e5*0.001
